trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules légers < 3,5t",14,E-O,Voie de circulation générale,2021-02-25 01:00:00+00:00,2.341831,48.8714843,1,Thursday,2021-02-25,"Véhicules légers < 3,5t",2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules lourds > 3,5t",5,E-O,Voie de circulation générale,2021-02-25 02:00:00+00:00,2.341831,48.8714843,2,Thursday,2021-02-25,Heavy Vehicles,2,75002
10023_2 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Trottinettes + vélos,232,E-O,Piste cyclable,2021-03-01 12:00:00+00:00,2.353837,48.856949,12,Monday,2021-03-01,Mixed,3,75003
10023_1 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Trottinettes + vélos,409,O-E,Piste cyclable,2021-03-01 15:00:00+00:00,2.353837,48.856949,15,Monday,2021-03-01,Mixed,3,75003
10023_4 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),2 roues motorisées,12,E-O,Coronapiste,2021-03-01 16:00:00+00:00,2.353837,48.856949,16,Monday,2021-03-01,Motorcycles,3,75003
10023_5 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Trottinettes + vélos,8,E-O,Voie de circulation générale,2021-03-01 18:00:00+00:00,2.353837,48.856949,18,Monday,2021-03-01,Mixed,3,75003
10023_5 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Autobus et autocars,23,E-O,Voie de circulation générale,2021-03-01 20:00:00+00:00,2.353837,48.856949,20,Monday,2021-03-01,Buses,3,75003
10023_5 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Autobus et autocars,10,E-O,Voie de circulation générale,2021-03-01 22:00:00+00:00,2.353837,48.856949,22,Monday,2021-03-01,Buses,3,75003
10028_2 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,2,O-E,Piste cyclable,2021-03-01 04:00:00+00:00,2.3418311,48.8714843,4,Monday,2021-03-01,Mixed,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Autobus et autocars,10,O-E,Voie de circulation générale,2021-03-01 05:00:00+00:00,2.3418311,48.8714843,5,Monday,2021-03-01,Buses,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),"Véhicules lourds > 3,5t",6,O-E,Voie de circulation générale,2021-03-01 07:00:00+00:00,2.3418311,48.8714843,7,Monday,2021-03-01,Heavy Vehicles,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),"Véhicules légers < 3,5t",141,O-E,Voie de circulation générale,2021-03-01 12:00:00+00:00,2.3418311,48.8714843,12,Monday,2021-03-01,"Véhicules légers < 3,5t",2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),"Véhicules lourds > 3,5t",2,O-E,Voie de circulation générale,2021-03-01 12:00:00+00:00,2.3418311,48.8714843,12,Monday,2021-03-01,Heavy Vehicles,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,10,O-E,Voie de circulation générale,2021-03-01 13:00:00+00:00,2.3418311,48.8714843,13,Monday,2021-03-01,Mixed,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),"Véhicules légers < 3,5t",145,O-E,Voie de circulation générale,2021-03-01 14:00:00+00:00,2.3418311,48.8714843,14,Monday,2021-03-01,"Véhicules légers < 3,5t",2,75002
10029_3 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Trottinettes + vélos,1,E-O,Piste cyclable,2021-02-28 23:00:00+00:00,2.341831,48.8714843,23,Sunday,2021-02-28,Mixed,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,3,E-O,Voie de circulation générale,2021-03-01 05:00:00+00:00,2.341831,48.8714843,5,Monday,2021-03-01,Buses,2,75002
10029_3 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),2 roues motorisées,1,E-O,Piste cyclable,2021-03-01 06:00:00+00:00,2.341831,48.8714843,6,Monday,2021-03-01,Motorcycles,2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Trottinettes + vélos,34,E-O,Voie de circulation générale,2021-03-01 07:00:00+00:00,2.341831,48.8714843,7,Monday,2021-03-01,Mixed,2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules légers < 3,5t",108,E-O,Voie de circulation générale,2021-03-01 07:00:00+00:00,2.341831,48.8714843,7,Monday,2021-03-01,"Véhicules légers < 3,5t",2,75002
