location,precision,arrondissement,format_1m2,format_2m2,longitude,latitude,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area
"30/40, rue Emeriau",,75015.0,0.0,1.0,2.286149,48.849731,75015.0,75015,15,1.0,2.0
"4-8, rue Brunetiere",,75017.0,0.0,1.0,2.30087,48.890317,75017.0,75017,17,1.0,2.0
"6, rue pommard",,75012.0,0.0,1.0,2.384587,48.835968,75012.0,75012,12,1.0,2.0
"5bis, rue Eugène Oudine",,75013.0,0.0,1.0,2.375676,48.825781,75013.0,75013,13,1.0,2.0
"7-29, rue Eugénie Cotton",Ecole élémentaire Lilas,75019.0,0.0,1.0,2.394505,48.878594,75019.0,75019,19,1.0,2.0
"4, rue Mercoeur",,75011.0,0.0,1.0,2.383143,48.856892,75011.0,75011,11,1.0,2.0
40 Jacques Hillairet,Ecole - à gauche de l'entrée,75012.0,1.0,0.0,2.388838,48.843121,75012.0,75012,12,1.0,1.0
"22, rue Jean Leclaire",,75017.0,0.0,1.0,2.327266,48.896619,75017.0,75017,17,1.0,2.0
"8, rue Jean Francois Lepine",,75018.0,0.0,1.0,2.358258,48.886176,75018.0,75018,18,1.0,2.0
"12, rue René Binet",,75018.0,0.0,1.0,2.342365,48.899487,75018.0,75018,18,1.0,2.0
"15, rue Sorbier",,75020.0,0.0,1.0,2.392293,48.866319,75020.0,75020,20,1.0,2.0
"108, avenue Philippe Auguste",,75011.0,0.0,1.0,2.390985,48.856704,75011.0,75011,11,1.0,2.0
"25, rue de la Bidassoa",,75020.0,0.0,1.0,2.393403,48.866346,75020.0,75020,20,1.0,2.0
"33, rue Saint Bernard",,75011.0,0.0,1.0,2.38079,48.852838,75011.0,75011,11,1.0,2.0
"185, avenue de Versailles",,75016.0,0.0,1.0,2.263832,48.839895,75016.0,75016,16,1.0,2.0
"153, avenue Gambetta",,75020.0,1.0,0.0,2.402914,48.87009,75020.0,75020,20,1.0,1.0
"36, rue des Docteurs Dejerine",,75020.0,0.0,1.0,2.411724,48.856862,75020.0,75020,20,1.0,2.0
"19, rue de Lagny",,75020.0,0.0,1.0,2.401828,48.848913,75020.0,75020,20,1.0,2.0
"Face au 8, rue des Recollets",Face au 8,75010.0,0.0,1.0,2.362063,48.874437,75010.0,75010,10,1.0,2.0
Place d'Aligre,Mairie Annexe - à droite de l'entrée,75012.0,1.0,0.0,2.378282,48.848901,75012.0,75012,12,1.0,1.0
"8, rue Kuss",,75013.0,0.0,1.0,2.351299,48.822231,75013.0,75013,13,1.0,2.0
"12, rue Severo",,75014.0,0.0,1.0,2.323515,48.832453,75014.0,75014,14,1.0,2.0
"163, boulevard Mortier",,75020.0,0.0,1.0,2.407428,48.875444,75020.0,75020,20,1.0,2.0
"91, rue des Orteaux",,75020.0,0.0,1.0,2.407425,48.855933,75020.0,75020,20,1.0,2.0
"58, rue de Clisson",,75013.0,0.0,1.0,2.36599,48.830739,75013.0,75013,13,1.0,2.0
"1-3, rue des Jardins Saint-Paul",,75004.0,1.0,0.0,2.360729,48.853472,75004.0,75004,4,1.0,1.0
"87, rue de Vaugirard",Gymnase Littré,75006.0,1.0,0.0,2.323206,48.8459,75006.0,75006,6,1.0,1.0
"56, boulevard Ney",,75018.0,0.0,1.0,2.3643929999999997,48.898888,75018.0,75018,18,1.0,2.0
"40, rue Manin",Angle rue d'Alsace Lorraine,75019.0,0.0,1.0,2.390199,48.883806,75019.0,75019,19,1.0,2.0
"24, rue Louis Braille",,75012.0,0.0,1.0,2.402816,48.839681,75012.0,75012,12,1.0,2.0
"61, rue Dunois",,75013.0,0.0,1.0,2.367048,48.832514,75013.0,75013,13,1.0,2.0
"146, avenue Félix Faure",,75015.0,0.0,1.0,2.279298,48.837349,75015.0,75015,15,1.0,2.0
"62, rue Lepic",,75018.0,0.0,1.0,2.333966,48.886937,75018.0,75018,18,1.0,2.0
"9/11, rue de la Plaine",,75020.0,0.0,1.0,2.400272,48.850003,75020.0,75020,20,1.0,2.0
"106, rue Compans",,75019.0,0.0,1.0,2.389772,48.880396,75019.0,75019,19,1.0,2.0
"13, rue Caillaux",Maison des Associations,75013.0,0.0,1.0,2.36113,48.822585,75013.0,75013,13,1.0,2.0
"70, rue Armand Carrel",,75019.0,0.0,1.0,2.373478,48.882999,75019.0,75019,19,1.0,2.0
"4, rue Keller",,75011.0,0.0,1.0,2.376853,48.853623,75011.0,75011,11,1.0,2.0
"9, rue des Alouettes",Ecole élémentaire Alouettes,75019.0,0.0,1.0,2.385354,48.877519,75019.0,75019,19,1.0,2.0
"156, avenue Jean Jaurès",Ecole élémentaire,75019.0,0.0,1.0,2.387708,48.887206,75019.0,75019,19,1.0,2.0
"14, rue du renard",,75004.0,0.0,1.0,2.352294,48.858908,75004.0,75004,4,1.0,2.0
"16, rue de Roquepine",,75008.0,0.0,1.0,2.318485,48.873349,75008.0,75008,8,1.0,2.0
"32, place Jeanne d'Arc",,75013.0,0.0,1.0,2.368114,48.83056,75013.0,75013,13,1.0,2.0
"32, rue Pali Kao",,75020.0,1.0,0.0,2.382195,48.870411,75020.0,75020,20,1.0,1.0
"71, rue de Richelieu",,75002.0,0.0,1.0,2.338158,48.868252,75002.0,75002,2,1.0,2.0
"12, rue Lobineau",Centre sportif Saint-Germain,75006.0,1.0,0.0,2.33594,48.851743,75006.0,75006,6,1.0,1.0
20 rue Edouard Pailleron,Maison des associations du 19ème,75019.0,0.0,1.0,2.376535,48.880402,75019.0,75019,19,1.0,2.0
"4, rue Lobau",,75004.0,0.0,1.0,2.353831,48.856578999999996,75004.0,75004,4,1.0,2.0
"15 bis, rue Buffon",Ecole maternelle Buffon,75005.0,1.0,0.0,2.361878,48.842548,75005.0,75005,5,1.0,1.0
"1, rue Jean Calvin",,75005.0,0.0,1.0,2.348999,48.841614,75005.0,75005,5,1.0,2.0
"93, rue d Alésia",,75014.0,0.0,1.0,2.325898,48.828016,75014.0,75014,14,1.0,2.0
"55/61, rue Maurice Ripoche",,75014.0,0.0,1.0,2.32257,48.833421,75014.0,75014,14,1.0,2.0
"11, boulevard de Grenelle",,75015.0,0.0,1.0,2.289652,48.853969,75015.0,75015,15,1.0,2.0
"32, boulevard des Maréchaux",,75016.0,0.0,1.0,2.271846,48.866988,75016.0,75016,16,1.0,2.0
"74, rue Mouffetard",Bibliothèque,75005.0,1.0,0.0,2.349672,48.842585,75005.0,75005,5,1.0,1.0
"4bis, avenue de Choisy",,75013.0,0.0,1.0,2.364644,48.820451,75013.0,75013,13,1.0,2.0
"15, rue des Bauches",,75016.0,0.0,1.0,2.273553,48.855983,75016.0,75016,16,1.0,2.0
"99, rue des Pyrénées",,75020.0,0.0,1.0,2.405215,48.855158,75020.0,75020,20,1.0,2.0
"79, avenue des Gobelins",,75013.0,0.0,1.0,2.353257,48.834719,75013.0,75013,13,1.0,2.0
"1, rue Rouvet",,75019.0,0.0,1.0,2.385131,48.893086,75019.0,75019,19,1.0,2.0
"1, rue du Général Camou",,75007.0,0.0,1.0,2.299853,48.858889,75007.0,75007,7,1.0,2.0
"28, rue du Général Foy",Panneau B,75008.0,0.0,1.0,2.317688,48.878822,75008.0,75008,8,1.0,2.0
16 rue de Marsoulan,Ecole - à gauche de l'entrée,75012.0,1.0,0.0,2.40334,48.846348,75012.0,75012,12,1.0,1.0
"253bis/253 ter, avenue Daumesnil",,75012.0,0.0,1.0,2.402889,48.837122,75012.0,75012,12,1.0,2.0
"1, avenue Boutroux",,75013.0,0.0,1.0,2.377618,48.822744,75013.0,75013,13,1.0,2.0
"4, rue Jourdain",,75020.0,0.0,1.0,2.389605,48.874518,75020.0,75020,20,1.0,2.0
"39 bis, rue Poliveau",Creche municipale,75005.0,1.0,0.0,2.357481,48.839807,75005.0,75005,5,1.0,1.0
"42, rue du Javelot",,75013.0,0.0,1.0,2.365472,48.824619,75013.0,75013,13,1.0,2.0
"37, avenue de la Bourdonnais",,75007.0,0.0,1.0,2.299265,48.85828,75007.0,75007,7,1.0,2.0
"13, rue du Général Guillaumat",,75015.0,0.0,1.0,2.29332,48.828027,75015.0,75015,15,1.0,2.0
"3, rue de la  Jussienne",,75002.0,0.0,1.0,2.344087,48.865292,75002.0,75002,2,1.0,2.0
"48, boulevard Jourdan",,75014.0,0.0,1.0,2.331066,48.822195,75014.0,75014,14,1.0,2.0
"64, rue Chardon Lagache",,75016.0,0.0,1.0,2.263925,48.842523,75016.0,75016,16,1.0,2.0
"11, rue d Argenteuil",,75001.0,0.0,1.0,2.333822,48.864893,75001.0,75001,1,1.0,2.0
"26, boulevard Bonne Nouvelle",Panneau B,75010.0,0.0,1.0,2.350113,48.870282,75010.0,75010,10,1.0,2.0
"39, rue Alexandre Dumas",Panneau A,75011.0,0.0,1.0,2.393242,48.853745,75011.0,75011,11,1.0,2.0
"14, rue Merlin",,75011.0,0.0,1.0,2.38589,48.859847,75011.0,75011,11,1.0,2.0
"9, rue Jean Rey",,75015.0,0.0,1.0,2.2910019999999998,48.855469,75015.0,75015,15,1.0,2.0
"19, rue Tristant Tzara",Bibliothèque Maurice Genevoix,75018.0,0.0,1.0,2.363866,48.89502,75018.0,75018,18,1.0,2.0
"12, rue des Amiraux",,75018.0,0.0,1.0,2.3513479999999998,48.894562,75018.0,75018,18,1.0,2.0
"10, rue Pierre Nicole",,75005.0,0.0,1.0,2.34061,48.842291,75005.0,75005,5,1.0,2.0
"130, boulevard de Clichy",Panneau B : face au 130,75009.0,0.0,1.0,2.334409,48.882984,75009.0,75009,9,1.0,2.0
"39, rue des Trois Bornes",,75011.0,0.0,1.0,2.374589,48.867344,75011.0,75011,11,1.0,2.0
"34, boulevard Carnot",,75012.0,0.0,1.0,2.4129300000000002,48.842109,75012.0,75012,12,1.0,2.0
"97, rue Ballard",,75015.0,0.0,1.0,2.2787,48.83755,75015.0,75015,15,1.0,2.0
"221, boulevard Pereire",,75017.0,0.0,1.0,2.289361,48.880446,75017.0,75017,17,1.0,2.0
"10, rue Vauquelin",,75005.0,0.0,1.0,2.347531,48.841234,75005.0,75005,5,1.0,2.0
"60, rue Saint andré des Arts",Maison des Associations,75006.0,1.0,0.0,2.339267,48.853577,75006.0,75006,6,1.0,1.0
"15, rue Lancry",,75010.0,0.0,1.0,2.360338,48.869561,75010.0,75010,10,1.0,2.0
"8 / 10, rue Balanchine",,75013.0,1.0,0.0,2.3735749999999998,48.836374,75013.0,75013,13,1.0,1.0
"20, rue Falguieres",,75015.0,0.0,1.0,2.316507,48.843104,75015.0,75015,15,1.0,2.0
"40, rue des Pyrénées",,75020.0,0.0,1.0,2.406499,48.850917,75020.0,75020,20,1.0,2.0
"60, boulevard Lannes",,75016.0,0.0,1.0,2.26978,48.864574,75016.0,75016,16,1.0,2.0
"26, boulevard Bonne Nouvelle",Panneau A,75010.0,0.0,1.0,2.350113,48.870282,75010.0,75010,10,1.0,2.0
"9, rue Tandou",Ecole élémentaire,75019.0,0.0,1.0,2.37918,48.886,75019.0,75019,19,1.0,2.0
"28, avenue Rapp",,75007.0,0.0,1.0,2.300202,48.858623,75007.0,75007,7,1.0,2.0
"7, rue Duranti",,75011.0,0.0,1.0,2.3842689999999997,48.86105,75011.0,75011,11,1.0,2.0
"166, rue Pelleport",,75020.0,1.0,0.0,2.397987,48.873377,75020.0,75020,20,1.0,1.0
"12, rue Foucroy",,75017.0,0.0,1.0,2.296597,48.880462,75017.0,75017,17,1.0,2.0
"31, rue Joseph de Maistre",,75018.0,0.0,1.0,2.330619,48.891854,75018.0,75018,18,1.0,2.0
"12-16, rue de la Moselle",,75019.0,0.0,1.0,2.37628,48.885108,75019.0,75019,19,1.0,2.0
