latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.850202,2.270562,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"3, avenue Boudon / angle rue du Père Brottier",panels
48.885177,2.367735,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"13, rue de Tanger",panels
48.851211,2.31916,Civic Panel,75007.0,1.5,0.0,1.0,0,"48, rue Vaneau",panels
48.837242,2.403541,Civic Panel,75012.0,5.0,1.0,0.0,0,83 avenue du Général Michel Bizot,panels
48.834272,2.387186,Civic Panel,75012.0,5.0,1.0,0.0,0,51 rue François Truffaut,panels
48.889534,2.292691,Civic Panel,75017.0,4.5,0.0,1.0,0,"229, rue de Courcelles",panels
48.870887,2.35392,Civic Panel,75010.0,2.892664068221247,0.0,1.0,0,6 rue de Metz,panels
48.843494,2.412916,Civic Panel,75012.0,5.0,0.0,1.0,0,"26, boulevard Carnot",panels
48.837481,2.394145,Civic Panel,75012.0,5.0,0.0,1.0,0,30 Rue de la Breche aux loups,panels
48.885256,2.314919,Civic Panel,75017.0,4.5,0.0,1.0,0,"47, rue de Saussure",panels
48.856139,2.380504,Civic Panel,75011.0,5.5,0.0,1.0,0,"31, rue Godeffroy Cavaignac",panels
48.883796,2.309226,Civic Panel,75017.0,4.5,0.0,1.0,0,112 Boulevards des Maréchaux,panels
48.820839,2.368247,Civic Panel,75013.0,6.5,0.0,1.0,0,"81, boulevard Massena",panels
48.874325,2.379553,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"15-17, rue Rampal",panels
48.862694,2.386531,Civic Panel,75011.0,5.5,0.0,1.0,0,"49, boulevard Menilmontant",panels
48.862048,2.356976,Civic Panel,75003.0,0.5,1.0,0.0,0,95 rue du temple,panels
48.841801,2.411745,Civic Panel,75012.0,5.0,0.0,1.0,0,"6, avenue Maurice Ravel",panels
48.821674,2.326294,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"7, rue Paul Appell",panels
48.890833,2.335818,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"8, square Lamarck",panels
48.885302,2.379333,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"87, avenue Jean Jaurès",panels
48.894664,2.318374,Civic Panel,75017.0,4.5,0.0,1.0,0,"26, rue Boulay",panels
48.891616,2.344508,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"29, rue Hermel",panels
48.880356,2.373876,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"8, rue Sadi Lecointe",panels
48.851526,2.357251,Civic Panel,75004.0,23.747073309914683,0.0,1.0,0,"21, rue Saint Louis en l'Isle",panels
48.85643,2.410685,Civic Panel,75020.0,8.75,0.0,1.0,0,"2, rue Eugène Reisz",panels
48.827774,2.35322,Civic Panel,75013.0,6.5,0.0,1.0,0,"40, rue Vandrezane",panels
48.899663,2.352423,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,15-33 Avenue de la Porte des Poissonniers,panels
48.886727,2.399121,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"5, rue Noyer Durand",panels
48.829979,2.316987,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"23, rue Jacquier",panels
48.895048,2.340169,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"160-162, rue Championnet",panels
48.863243,2.354553,Civic Panel,75003.0,0.5,1.0,0.0,0,64 rue de Beaubourg,panels
48.834878,2.396294,Civic Panel,75012.0,5.0,0.0,1.0,0,"40, rue des Meuniers",panels
48.837607,2.320578,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"18, rue Jean Zay",panels
48.882984,2.334409,Civic Panel,75009.0,1.75,0.0,1.0,0,"130, boulevard de Clichy",panels
48.854709,2.376653,Civic Panel,75011.0,5.5,0.0,1.0,0,"3, passage Bullourde",panels
48.842595,2.294888,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"103, rue de la Croix Nivert",panels
48.855395,2.291447,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"11, rue Jean Rey",panels
48.835399,2.315742,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"82, rue Pernetty",panels
48.885396,2.353862,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,9 rue Polonceau,panels
48.88457,2.390867,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,53 allée Darius Milhaud,panels
48.869368,2.394918,Civic Panel,75020.0,8.75,0.0,1.0,0,"293, rue des Pyrénées",panels
48.851602,2.383955,Civic Panel,75011.0,5.5,0.0,1.0,0,"18, rue Faidherbe",panels
48.826626,2.300413,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"18, avenue de la prte Brancion",panels
48.876172,2.38915,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"2, rue Féssart",panels
48.854708,2.407777,Civic Panel,75020.0,8.75,0.0,1.0,0,"5, rue Mouraud",panels
48.856693,2.355152,Civic Panel,75004.0,23.747073309914683,0.0,1.0,0,"25, rue de Rivoli",panels
48.888084,2.33782,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,15 Rue Girardon,panels
48.880396,2.389772,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,104-106 Rue Compans,panels
48.864378,2.401004,Civic Panel,75020.0,8.75,1.0,0.0,0,"24, rue de la Cour des Noues",panels
48.832161,2.399323,Civic Panel,75012.0,5.0,0.0,1.0,0,"68, boulevard Poniatowski",panels
48.82773,2.327953,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"77, rue d Alésia",panels
48.877519,2.385354,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"9, rue des Alouettes",panels
48.892135,2.382858,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"7, rue Barbanègre",panels
48.843156,2.307197,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"17-19, rue Blomet",panels
48.871094,2.389959,Civic Panel,75020.0,8.75,1.0,0.0,0,"42, rue de la Mare",panels
48.875389,2.406186,Civic Panel,75020.0,8.75,0.0,1.0,0,"148, avenue Gambetta",panels
48.847557,2.346916,Civic Panel,75005.0,2.75,1.0,0.0,0,"11, rue Valette",panels
48.896536,2.319314,Civic Panel,75017.0,4.5,0.0,1.0,0,"88, boulevard Bessière",panels
48.827738,2.364285,Civic Panel,75013.0,6.5,0.0,1.0,0,"17, avenue Edison",panels
48.890753,2.362625,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"2, rue de la Guadeloupe",panels
48.876827,2.384217,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"36, rue Féssart",panels
48.827428,2.352475,Civic Panel,75013.0,6.5,0.0,1.0,0,"5, place Paul Verlaine",panels
48.893105,2.363213,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"5, place Hebert",panels
48.852133,2.412878,Civic Panel,75020.0,8.75,0.0,1.0,0,"26, rue Maryse Hilz",panels
48.877866,2.320526,Civic Panel,75008.0,1.5,0.0,1.0,0,"46/48, rue du Rocher",panels
48.856591,2.393939,Civic Panel,75011.0,5.5,0.0,1.0,0,"115, boulevard Charonne",panels
48.880565,2.290199,Civic Panel,75017.0,4.5,0.0,1.0,0,"15, rue Guersant",panels
48.875505,2.376595,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"16, rue de l Atlas",panels
48.850531,2.412835,Civic Panel,75020.0,8.75,0.0,1.0,0,"18, rue Maryse Hilsz",panels
48.859896,2.342026,Civic Panel,75001.0,3.367634075065204,0.0,1.0,0,"19, rue de l'arbre sec",panels
