location,precision,arrondissement,format_1m2,format_2m2,coordinates,geometry,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area,latitude,longitude
"3, rue de l'Epée de Bois",Dispensaire Epée de bois,75005.0,1.0,0.0,"{'lon': 2.351354, 'lat': 48.841557}","{'lon': 2.351354, 'lat': 48.841557}",75005.0,75005,5,1.0,1.0,48.841557,2.351354
"15, rue des Volontaires",,75015.0,0.0,1.0,"{'lon': 2.307794, 'lat': 48.841682}","{'lon': 2.307794, 'lat': 48.841682}",75015.0,75015,15,1.0,2.0,48.841682,2.307794
"32-34, rue Alsace Lorraine",,75019.0,0.0,1.0,"{'lon': 2.392785, 'lat': 48.882991}","{'lon': 2.392785, 'lat': 48.882991}",75019.0,75019,19,1.0,2.0,48.882991,2.392785
"34-54, avenue Marc Sangnier",,75014.0,0.0,1.0,"{'lon': 2.30741, 'lat': 48.825938}","{'lon': 2.30741, 'lat': 48.825938}",75014.0,75014,14,1.0,2.0,48.825938,2.30741
Avenue de la Porte de Pantin,,75019.0,0.0,1.0,"{'lon': 2.397958, 'lat': 48.88998}","{'lon': 2.397958, 'lat': 48.88998}",75019.0,75019,19,1.0,2.0,48.88998,2.397958
10 rue Huyghens,,75014.0,0.0,1.0,"{'lon': 2.328593, 'lat': 48.840883}","{'lon': 2.328593, 'lat': 48.840883}",75014.0,75014,14,1.0,2.0,48.840883,2.328593
"58-60, rue de l Amiral Bruix",,75016.0,0.0,1.0,"{'lon': 2.280587, 'lat': 48.875254}","{'lon': 2.280587, 'lat': 48.875254}",75016.0,75016,16,1.0,2.0,48.875254,2.280587
"11, rue Drouot",,75009.0,0.0,1.0,"{'lon': 2.34045, 'lat': 48.873382}","{'lon': 2.34045, 'lat': 48.873382}",75009.0,75009,9,1.0,2.0,48.873382,2.34045
"58, rue Erlanger",,75016.0,0.0,1.0,"{'lon': 2.259622, 'lat': 48.844134}","{'lon': 2.259622, 'lat': 48.844134}",75016.0,75016,16,1.0,2.0,48.844134,2.259622
"41, rue de Tanger",,75019.0,0.0,1.0,"{'lon': 2.370231, 'lat': 48.887761}","{'lon': 2.370231, 'lat': 48.887761}",75019.0,75019,19,1.0,2.0,48.887761,2.370231
"38, rue de tourtille",,75020.0,1.0,0.0,"{'lon': 2.380281, 'lat': 48.872432}","{'lon': 2.380281, 'lat': 48.872432}",75020.0,75020,20,1.0,1.0,48.872432,2.380281
"48, rue du Chateau Landon",,75010.0,0.0,1.0,"{'lon': 2.364032, 'lat': 48.883223}","{'lon': 2.364032, 'lat': 48.883223}",75010.0,75010,10,1.0,2.0,48.883223,2.364032
"école élémentaire : 84, rue Curial",,75019.0,0.0,1.0,"{'lon': 2.374613, 'lat': 48.894902}","{'lon': 2.374613, 'lat': 48.894902}",75019.0,75019,19,1.0,2.0,48.894902,2.374613
"29, avenue Gambetta",,75020.0,1.0,0.0,"{'lon': 2.391763, 'lat': 48.864014}","{'lon': 2.391763, 'lat': 48.864014}",75020.0,75020,20,1.0,1.0,48.864014,2.391763
"36, rue le Vau",,75020.0,0.0,1.0,"{'lon': 2.410873, 'lat': 48.869824}","{'lon': 2.410873, 'lat': 48.869824}",75020.0,75020,20,1.0,2.0,48.869824,2.410873
"85, boulevard Raspail",,75006.0,0.0,1.0,"{'lon': 2.328112, 'lat': 48.847852}","{'lon': 2.328112, 'lat': 48.847852}",75006.0,75006,6,1.0,2.0,48.847852,2.328112
"14, rue d Alésia",,75014.0,0.0,1.0,"{'lon': 2.332862, 'lat': 48.827862}","{'lon': 2.332862, 'lat': 48.827862}",75014.0,75014,14,1.0,2.0,48.827862,2.332862
"39, rue Saint-André des Arts",Ecole maternelle,75006.0,1.0,0.0,"{'lon': 2.341287, 'lat': 48.853272}","{'lon': 2.341287, 'lat': 48.853272}",75006.0,75006,6,1.0,1.0,48.853272,2.341287
"54, rue Planchat",,75020.0,0.0,1.0,"{'lon': 2.3964689999999997, 'lat': 48.855971}","{'lon': 2.3964689999999997, 'lat': 48.855971}",75020.0,75020,20,1.0,2.0,48.855971,2.3964689999999997
"162, boulevard Murat",,75016.0,0.0,1.0,"{'lon': 2.26544, 'lat': 48.838878}","{'lon': 2.26544, 'lat': 48.838878}",75016.0,75016,16,1.0,2.0,48.838878,2.26544
"15, Cour Debille",,75011.0,0.0,1.0,"{'lon': 2.379842, 'lat': 48.855876}","{'lon': 2.379842, 'lat': 48.855876}",75011.0,75011,11,1.0,2.0,48.855876,2.379842
"345-347, rue de Belleville",Ecole maternelle Leman-Belleville,75019.0,0.0,1.0,"{'lon': 2.391482, 'lat': 48.874919}","{'lon': 2.391482, 'lat': 48.874919}",75019.0,75019,19,1.0,2.0,48.874919,2.391482
"28, rue Olivier Métra",,75020.0,0.0,1.0,"{'lon': 2.393873, 'lat': 48.87328}","{'lon': 2.393873, 'lat': 48.87328}",75020.0,75020,20,1.0,2.0,48.87328,2.393873
"8, rue  Pierre Foncin",Ecole Maternelle P. Foncin,75020.0,1.0,0.0,"{'lon': 2.409702, 'lat': 48.871358}","{'lon': 2.409702, 'lat': 48.871358}",75020.0,75020,20,1.0,1.0,48.871358,2.409702
"50, rue Emeriau",,75015.0,0.0,1.0,"{'lon': 2.286048, 'lat': 48.849521}","{'lon': 2.286048, 'lat': 48.849521}",75015.0,75015,15,1.0,2.0,48.849521,2.286048
"7, rue Fernand Laborie",,75018.0,0.0,1.0,"{'lon': 2.342267, 'lat': 48.898533}","{'lon': 2.342267, 'lat': 48.898533}",75018.0,75018,18,1.0,2.0,48.898533,2.342267
"101, rue Rambuteau",(porte Rambuteau du Forum),75001.0,1.0,0.0,"{'lon': 2.346663, 'lat': 48.862744}","{'lon': 2.346663, 'lat': 48.862744}",75001.0,75001,1,1.0,1.0,48.862744,2.346663
