counter_name,installation_date,count_datetime,hourly_count,coordinates,month_year,id_compteur,counter,name,id,arrondissement,year,month,day,hour,weekday,arrondissement_clean,latitude,longitude,is_rush_hour,is_weekend
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-03 12:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,3,12,Friday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-03 16:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,3,16,Friday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-03 19:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,3,19,Friday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-03 23:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,3,23,Friday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 03:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,3,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 04:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,4,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 06:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,6,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 09:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,9,Saturday,10,48.83507,2.33305,True,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 10:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,10,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-04 15:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,4,15,Saturday,10,48.83507,2.33305,False,True
